[INFO | 2022-08-22 08:44:40,635] | 47.97.218.168:50056, 
[INFO | 2022-08-22 08:44:40,635] | 47.97.218.168:50052, 
[INFO | 2022-08-22 08:44:40,638] | 0-th write handle_1661128875220 at 47.97.218.168:50055
[INFO | 2022-08-22 08:44:55,185] | rpc WriteChunk() succeed
[INFO | 2022-08-22 08:44:55,185] | ------------ WriteChunk() exit -----------
[INFO | 2022-08-22 08:44:55,185] | Put() exit.
[INFO | 2022-08-22 08:45:02,822] | Put(): local file size is: 4
[INFO | 2022-08-22 08:45:03,824] | Put():GetWriteAddr() Succeed.
[INFO | 2022-08-22 08:45:03,824] | handle_id: 1661128875221
[INFO | 2022-08-22 08:45:03,824] | 47.97.218.168:50052, 
[INFO | 2022-08-22 08:45:03,824] | 47.97.218.168:50055, 
[INFO | 2022-08-22 08:45:03,824] | 47.97.218.168:50056, 
[INFO | 2022-08-22 08:45:03,824] | 0-th write handle_1661128875221 at 47.97.218.168:50052
[INFO | 2022-08-22 08:45:21,271] | rpc WriteChunk() succeed
[INFO | 2022-08-22 08:45:21,271] | ------------ WriteChunk() exit -----------
[INFO | 2022-08-22 08:45:21,271] | Put() exit.
[INFO | 2022-08-22 08:48:27,037] | Put(): local file size is: 4
[INFO | 2022-08-22 08:48:28,060] | Put():GetWriteAddr() Succeed.
[INFO | 2022-08-22 08:48:28,060] | handle_id: 1661129274409
[INFO | 2022-08-22 08:48:28,060] | 47.97.218.168:50054, 
[INFO | 2022-08-22 08:48:28,060] | 47.97.218.168:50053, 
[INFO | 2022-08-22 08:48:28,060] | 47.97.218.168:50056, 
[INFO | 2022-08-22 08:48:28,064] | 0-th write handle_1661129274409 at 47.97.218.168:50054
[INFO | 2022-08-22 08:48:43,901] | rpc WriteChunk() succeed
[INFO | 2022-08-22 08:48:43,901] | ------------ WriteChunk() exit -----------
[INFO | 2022-08-22 08:48:43,901] | Put() exit.
[INFO | 2022-08-22 08:49:33,324] | GetSubDirPaths() succeed
[INFO | 2022-08-22 08:49:33,326] | rpc Stat() succeed
[INFO | 2022-08-22 08:49:33,326] | GetFileInfo() exit.

[INFO | 2022-08-22 08:51:20,743] | client_id: 1111 FindAddr() success.
[INFO | 2022-08-22 08:51:20,743] | FindAddr() res: 
[INFO | 2022-08-22 08:51:20,745] | rpc Stat() succeed
[INFO | 2022-08-22 08:51:20,745] | GetFileInfo() exit.

[INFO | 2022-08-22 08:51:20,745] | remote_file_size: 4
[INFO | 2022-08-22 08:53:30,001] | client_id: 1111 init.
[INFO | 2022-08-22 08:53:47,797] | GetSubDirPaths() succeed
[INFO | 2022-08-22 08:53:47,799] | rpc Stat() succeed
[INFO | 2022-08-22 08:53:47,799] | GetFileInfo() exit.

[INFO | 2022-08-22 08:54:12,121] | client_id: 1111 FindAddr() success.
[INFO | 2022-08-22 08:54:12,121] | FindAddr() res: 
[INFO | 2022-08-22 08:54:12,123] | rpc Stat() succeed
[INFO | 2022-08-22 08:54:12,123] | GetFileInfo() exit.

[INFO | 2022-08-22 08:54:12,123] | remote_file_size: 4
[INFO | 2022-08-22 08:55:46,929] | client_id: 1111 init.
[INFO | 2022-08-22 08:56:50,381] | Put(): local file size is: 4
[INFO | 2022-08-22 08:56:51,383] | Put():GetWriteAddr() Succeed.
[INFO | 2022-08-22 08:56:51,383] | handle_id: 1661129787827
[INFO | 2022-08-22 08:56:51,383] | 47.97.218.168:50052, 
[INFO | 2022-08-22 08:56:51,383] | 47.97.218.168:50054, 
[INFO | 2022-08-22 08:56:51,383] | 47.97.218.168:50053, 
[INFO | 2022-08-22 08:56:51,387] | 0-th write handle_1661129787827 at 47.97.218.168:50052
[INFO | 2022-08-22 08:57:04,522] | rpc WriteChunk() succeed
[INFO | 2022-08-22 08:57:04,522] | ------------ WriteChunk() exit -----------
[INFO | 2022-08-22 08:57:04,522] | Put() exit.
[INFO | 2022-08-22 08:57:19,888] | client_id: 1111 FindAddr() success.
[INFO | 2022-08-22 08:57:19,889] | FindAddr() res: 
[INFO | 2022-08-22 08:57:19,890] | rpc Stat() succeed
[INFO | 2022-08-22 08:57:19,890] | GetFileInfo() exit.

[INFO | 2022-08-22 08:57:19,890] | remote_file_size: 4
[INFO | 2022-08-22 09:03:55,003] | client_id: 1111 init.
[INFO | 2022-08-22 09:05:06,730] | Put(): local file size is: 4
[INFO | 2022-08-22 09:05:07,735] | Put():GetWriteAddr() Succeed.
[INFO | 2022-08-22 09:05:07,735] | handle_id: 1661130271186
[INFO | 2022-08-22 09:05:07,735] | 47.97.218.168:50055, 
[INFO | 2022-08-22 09:05:07,735] | 47.97.218.168:50052, 
[INFO | 2022-08-22 09:05:07,735] | 47.97.218.168:50053, 
[INFO | 2022-08-22 09:05:07,738] | 0-th write handle_1661130271186 at 47.97.218.168:50055
[INFO | 2022-08-22 09:05:24,355] | rpc WriteChunk() succeed
[INFO | 2022-08-22 09:05:24,355] | ------------ WriteChunk() exit -----------
[INFO | 2022-08-22 09:05:24,355] | Put() exit.
[INFO | 2022-08-22 09:05:43,335] | client_id: 1111 FindAddr() success.
[INFO | 2022-08-22 09:05:43,335] | FindAddr() res: 
[INFO | 2022-08-22 09:05:43,337] | rpc Stat() succeed
[INFO | 2022-08-22 09:05:43,337] | GetFileInfo() exit.

[INFO | 2022-08-22 09:05:43,337] | remote_file_size: 4
[INFO | 2022-08-22 09:11:03,074] | client_id: 1111 init.
[INFO | 2022-08-22 09:12:54,178] | Put(): local file size is: 4
[INFO | 2022-08-22 09:12:55,192] | Put():GetWriteAddr() Succeed.
[INFO | 2022-08-22 09:12:55,192] | handle_id: 1661130723350
[INFO | 2022-08-22 09:12:55,192] | 47.97.218.168:50056, 
[INFO | 2022-08-22 09:12:55,192] | 47.97.218.168:50055, 
[INFO | 2022-08-22 09:12:55,192] | 47.97.218.168:50054, 
[INFO | 2022-08-22 09:12:55,196] | 0-th write handle_1661130723350 at 47.97.218.168:50056
[INFO | 2022-08-22 09:13:11,570] | rpc WriteChunk() succeed
[INFO | 2022-08-22 09:13:11,570] | ------------ WriteChunk() exit -----------
[INFO | 2022-08-22 09:13:11,570] | Put() exit.
[INFO | 2022-08-22 09:13:32,439] | client_id: 1111 FindAddr() success.
[INFO | 2022-08-22 09:13:32,439] | FindAddr() res: 
[INFO | 2022-08-22 09:13:32,439] | handle_id: 1661130722523
[INFO | 2022-08-22 09:13:32,439] | 47.97.218.168:50056, 
